registrationid,vendorid,code,name,email,address1,address2,address3,city,state,zipcode,phone,fax,contact,active
173,173,0156,24-7 TEAM SALES,,112 GATESIDE CTS,,                           *,MARIETTA,GA,30067,404-438-9690,770-955-8659,,1
13672,14780,R321,24/7 FIRE PROTECTION INC.,,,,,,,,,,,1
14623,1432017,8527,"2COM GROUP, LLC.",,102 DORSA AVENUE,,,LIVINGSTON,NJ,07039,973-287-4012 x 302,973-287-4014,,1
12797,13301,5124,2K PRINTING & PROMOTIONS LLC,,16 SOUTH AVENUE W.  UNIT 237,,,CRANFORD,NJ,07016,908-547-5000,,,1
14694,1432117,8755,3 WITH 1 GRAB PRODUCTIONS,3w1gproductions@gmail.com,7 NIAGARA STREET,,,DUMONT,NJ,07628,201-819-7404,,,1
5036,5036,5709,"303 AUTO PARTS, INC.",,331 ROUTE 303,"ORANGEBURG, N.Y. 10962",(914) 359-2991             *,ORANGEBURG,NY,109620000,9143592991,0000000000,,0
14800,1432230,8781,365 TEAM SPORTS,,1030 CAMPUS DRIVE WEST  SUITE B,,,MARLBORO ,NJ,07751,908-601-4827 cell,732-888-8484,,1
12845,13357,8731,3C CUSTOM COLOR CONCEPTS,,516 BROWNS COVE ROAD  UNIT G,,,RIDGELAND,SC,29936,843-645-2911,843-645-9176,,1
13879,15064,R428,"3C SOLUTIONS, INC.",Orquidia@3-c-solutions.com,396 HEWLETT PARKWAY,,,HEWLETT,NY,11557,844-612-5326,,,1
11663,11689,X002,"3D INDUSTRIAL SALES & SERVICE, INC.",,110 SWALM STREET  UNIT B,,,WESTBURY       ,NY,11590,516-876-2600,516-876-0764,,1
15926,1711170,T755,3G Landscape Design & Supply ,,124 Nunnink Lane,,,South Plainfield,NJ,07080,908-222-8200 ,,,0
3958,3958,3M  ,3M ,,3M CENTER,"ST PAUL, MN 55144-1000",1800-524-0399    447-2053  *,ST PAUL,MN,551441000,1800524039,0004472053,,0
383,383,0361,3M  / LARRY COX,,P.O. BOX 13339,"PHILADELPHIA, PA 29202",                           *,PHILADELPHIA,PA,292020000,0000000000,0000000000,,0
290,290,0270,3M AUDIO VISUAL DIVISION,,444 BEACH 136TH STREET,"ROCKAWAY BEACH, N.Y. 11694",718-634-5069               *,ROCKAWAY BEACH,NY,116940000,7186345069,0000000000,,0
276,276,0257,3M CO.,,70 EISENHOWER DR.,"PARAMUS, N.J. 07652",                           *,PARAMUS,NJ,076520000,0000000000,0000000000,,0
435,435,0412,3M CO.,,70 EISENHOWER DRIVE,"PARAMUS, N.J. 07562",                           *,PARAMUS,NJ,075620000,0000000000,0000000000,,0
3959,3959,3MCO,3M CO/DUPLICATING PROD DIV,,,"ST. PAUL, MN 55144",                           *,ST. PAUL,MN,551440000,0000000000,0000000000,,1
3254,3254,3277,3M Company,,"3M Center, 223-3N-30",,                           *,Saint Paul,MN,55144-1000,651-253-3456,,,1
477,477,0453,3M COMPANY,,,,                           *,,,,,,,1
4675,4675,4751,3M HOME & COMMERCIAL CARE DIV,,"3M CENTER , BLDG 223-3N-20",,800-852-9722     447-0408  *,ST. PAUL,MN,55144,651-737-9929,651-736-1644,,0
3650,3650,3675,3M PHILADELPHIA SALES,,7 NESHAMINY INTERPLEX #400,"TREVOSE, PA 19053",215-638-6300               *,TREVOSE,PA,190530000,2156386300,0000000000,,1
4317,4317,4373,3M UNITEK DIVISION,,2724 SOUTH PECK ROAD,"MONROVIA, CA 91016",800-423-4588     328-2360  *,MONROVIA,CA,910160000,8004234588,0003282360,,1
266,266,0248,3M VISUAL SYSTEMS DIVISION,,530 FIFTH AVE,"NEW YORK,  N.Y. 10036",212-536-7900               *,NEW YORK,NY,100360000,2125367900,0000000000,,0
12875,13390,0153,4 INDUSTRIAL SUPPLLIES,gmitchell@forindustrialsupplies.com,11811 NORTH FREEWAY,,,HOUSTON,TX,77060,832-287-9949,281-445-9218,,0
4254,4254,4310,4 SEASONS SWIMWEAR,,74818 VELIE WAY #7,,,PALM DESERT,CA,92260,800-934-6907,,,1
10378,10378,,4 Seasons Swimwear,customerservice@4swimwear.com,74-818 Velie Way #7,,,Palm Desert,CA,92260,1-800-934-6907,(760) 341-9265,,0
395,395,0373,47TH STREET PHOTO,,115 W. 45TH ST.,"NEW YORK, N.Y. 10036",1-800-221-3513             *,NEW YORK,NY,100360000,1800221351,0000000000,,0
13664,14762,R316,"4G CONSTRUCTION, INC.",jnaples4g@gmail.com,18 SMITH STREET,,,CENTER MORICHES,NY,11934,631-855-0878,,,1
16440,1711973,9983,4Ward Sports,wardterence02@gmail.com,11 Cambridge Lane,,,Berlin,NJ,08009,609-412-5303,,,1
15442,1620990,T513,"5S Security, LLC ",,220 Passaic Street,,,Passaic,NJ,07055,973-767-6362 ,,,1
16271,1711774,T928,610 Automations LLC,steve@610automations.net,3014 Masters Hill Road,,,Fogelsville,PA,18051,484-550-2225,,,1
4843,4843,5224,7 K M COPIER PRODUCTS,,5 STUDEBAKER,"IRVINE, CA 92618",800-321-5773   X 214       *,IRVINE,CA,926180000,8003215773,0000000214,,1
1173,1173,1154,816 SPORTS ,,816 RARITAN AVENUE,,                           *,HIGHLAND PARK,NJ,08904,732-543-2187,732-543-2188,,1
13467,14350,4988,8th Street Music,customerservice@8thstreet.com,7815 Airport Highway,,,Pennsauken,NJ,08109,856-662-0800,,,1
12829,13336,X869,9 WEST CONSTRUCTION CORP.,,84 N. ROUTE 9W ,,,CONGERS,NY,10920,845-268-7437 ,845-268-8437,,1
4543,4543,4617,94 FEET,,282 PINEDGE DRIVE,,,BERLIN,NJ,08091,856-768-2121,,,1
14214,15622,6544,9to5 Computer Supply Inc.,richardraab@9to5computer.com,"3948 3rd Street South, Suite 103",,,Jacksonville Beach,FL,32250,904-280-2544,,,1
15255,1614916,9174,9to5 Seating LLC ,joni.stafford@9to5seating.com,3211 Jack Northrop Avenue,,,Hawthorne,CA, 90250,310-220-2500 X 103,310-220-2501,,1
2773,2773,281 ,A,,,,                           *,,28,81   0000,0000000000,0000000000,,1
5565,5565,6411,A,,,,                           *,,64,411  0000,0000000000,0000000000,,1
7175,7175,8572,A &  P PRINTING CO.,,P.O. BOX 4233,,609-627-6600               *,CLIFTON,NJ,07012,973-249-6687,973-249-6868,,1
1727,1727,1736,A & A INDUSTRIAL SUPPLY CO.,,205 LYON STREET,"VALLEY STREAM, N.Y. 11580",                           *,VALLEY STREAM,NY,115800000,0000000000,0000000000,,1
1345,1345,1338,A & B CERAMIC SUPERMARKET,,29 HAVEN AVENUE,,,PORT WASHINGTON,NY,11050,516-742-2350,,,0
14157,15563,L039,"A & B Leadmasters, LLC",,326 3RD STREET,,,LAKEWOOD,NJ,08701,732-901-0222,,,1
5017,5017,5689,A & B TEXACO,,MAIN ST. & 6TH AVE.,"ASBURY PARK, N.J. 07712",                           *,ASBURY PARK,NJ,077120000,0000000000,0000000000,,1
3925,3925,3966,"A & B WIPER SUPPLY, INC.",,116 FOUNTAIN ST.,"PHILADELPHIA, PA 19127",215-482-6100     482-6190  *,PHILADELPHIA,PA,191270000,2154826100,0004826190,,1
4544,4544,4618,A & C GREEN CLEANER LLC,,15 STONEYBROOK LANE,,800-393-2225               *,OAK RIDGE,NJ,07438,973-786-3697,,,1
12109,12202,X437,"A & D RECREATION, INC.",,610 FENIMORE ROAD,,,MAMARONECK,NY,10543,914-698-5024,914-698-6746,,1
6310,6310,7276,A & E SPORTS CENTER,,974 MAIN AVENUE,"PASSAIC, N.J.  07055",                           *,PASSAIC,NJ,070550000,0000000000,0000000000,,1
2558,2558,2595,"A & I  EQUIPMENT, INC.",,43 WILKESHIRE BLVD.,,                           *,RANDOLPH,NJ,07869,973-343-6432,855-343-6432,,1
13221,14103,R064,A & K ELECTRIC CONTRACTING,info@akaelectricgroup.com,P.O. BOX 54,,,GLEN GARDNER,NJ,08826,908-537-9381,908-537-9389,,1
14786,1432212,R946,A & M CONTRACTING,info@amcontracting.us,1967 LINCOLN HIGHWAY,,,EDISON,NJ,08817,732-284-4485,732-333-5872,,1
2569,2569,2605,"A & M INDUSTRIAL, INC",,1414 CAMPBELL STREET,,908-815-1417               *,RAHWAY,NJ,07065,732-574-1111,732-574-2081,,1
5548,5548,6396,A & M MULTIGRAPHICS,,1130 RT 22,"MOUNTAINSIDE, NJ 07092",                           *,MOUNTAINSIDE,NJ,070920000,0000000000,0000000000,,1
3662,3662,3687,A & M SEVICES,,166 WEST MILL RD,"LONG VALLEY, N.J. 07853",908-876-9313               *,LONG VALLEY,NJ,078530000,9088769313,0000000000,,1
5353,5353,6196,"A & M SUPPLIES NETWORK, INC.",,2468 N. JERUSALEM RD SUITE 5,,,NORTH BELLMORE,NY,11710,516-414-1135,516-794-6784,,0
4457,4457,4526,A & P PRINTING CO. / MASTER BUSINESS FORMS ,,195 ALLWOOD ROAD,,973-574-7288     F574-7280 *,CLIFTON,NJ,07012,973-249-6687,973-246-6868,,1
13600,14540,R272,A & S CARPETS,,94 WILSON AVENUE,,,NEWARK,NJ,07105,973-589-0003,973-589-6347,,0
13516,14398,R213,A & S ENTERPRISES,,737 EAST  35TH STREET,,,BROOKLYN,NY,11210,718-434-0728,718-434-0727,,0
6846,6846,7849,A -Z MUSIC CENTER,,334 W. BRIDGE STREET,"MORRISVILLE, PA 19067",215 295-1115               *,MORRISVILLE,PA,190670000,2152951115,0000000000,,1
3022,3022,3057,A A A JANITORIAL SUPPLY,,137 NORTH MAIN STREET,"SPRING VALLEY, NY 10977",914-352-0483               *,SPRING VALLEY,NY,109770000,9143520483,0000000000,,1
15746,1623413,T647,A B Maniar & Son LLC ,Ashin@abmaniar.com,82 Fairview Avenue,,,Milford,NJ,08848,732-491-9951 ,,,1
9834,9834,F001,A BEKA                        ,,,,,,,,,,,1
5453,5453,6301,A C ELECTRICAL SUPPLIES INC,,741 SMITHTOWN BY-PASS,"SMITHTOWN, N.Y. 11788",516-265-2252               *,SMITHTOWN,NY,117880000,5162652252,0000000000,,1
8999,8999,4796,A C SPORTS,,194 SO. BAYVIEW AVE,,,AMITYVILLE,NY,11701,,,,1
16290,1711798,T938,A Classy Lady LLC,,11421 Venetian Lagoon Drive,,,Fort Myers,FL,33913,908-413-1044,,,1
3924,3924,3965,"A G E MANUFACTURERS, INC.",,10624 AVENUE D,,800-854-0060               *,BROOKLYN,NY,11236,718-927-0048,718-927-0048,,1
8730,8730,8117,A GARY'S TREASURE,,629 PLANK ROAD PLAZA,,,CLIFTON PARK,NY,12065,,,,1
15040,1610600,T301,A J  RELIABLE ROOFING INC.,contact@ajreliable.com,50 SECOND AVENUE SUITE A,,,NANUET,NY,10954,845-356-3886,,,1
16438,1711971,M023,A J Celiano Inc.,cyoung@ajceliano.com,460 Ludlow Avenue,,,Cranford,NJ,07016,908-296-2305,908-272-0291,,1
5321,5321,6162,A KFIR EQUIPMENT & FENCING GEA,kfirfencing@gmail.com,Attn: Nitai Kfir,119 W. 25TH STREET 5TH FLOOR,,NEW YORK,NY,10001,646-290-6361,646-415-8246,,0
3043,3043,3078,A L & S INDUSTRIES,,48 LEE AVENUE,"HARRINGTON PARK, N.J. 07640",201-768-6964               *,HARRINGTON PARK,NJ,076400000,2017686964,0000000000,,1
3469,3469,3488,A L & S INDUSTRIES,,48 LEE AVENUE,"HARRINGTON PARK, N.J. 07640",201-768-6964               *,HARRINGTON PARK,NJ,076400000,2017686964,0000000000,,1
2575,2575,2611,A L & S INDUSTRIES,,48 LEE AVENUE,"HARRINGTON PARK, N.J. 07640",201-768-6964               *,HARRINGTON PARK,NJ,076400000,2017686964,0000000000,,1
4625,12793,4701,A M FLLORING LLC,,,,,,,,,,,1
12483,12793,4701,A M FLLORING LLC,,,,,,,,,,,1
5355,5355,6198,A M LEONARD INC,,241 FOX DRIVE,"PIQUA, OH 45356",513-773-2694               *,PIQUA,OH,453560000,5137732694,0000000000,,1
5256,5256,6096,A M PRODUCTS,,419 EAST 91ST STREET,"NEW YORK, N.Y. 10128",212-427-5700               *,NEW YORK,NY,101280000,2124275700,0000000000,,1
1436,1436,1433,A M S,,WHITE STREET,"BUCHANAN, N.Y. 10511",                           *,BUCHANAN,NY,105110000,0000000000,0000000000,,1
15505,1621058,T537,A Plus Glass and Metal,vic@aplusglassmetal.com,205 Hamilton Avenue,,,Hasbrouck Heights ,NJ,07604,201-426-5580 ,201-426-5581,,1
14591,1431969,R826,A PLUS MANAGEMENT,aplusmanagementnj@yahoo.com,20 HATFIELD STREET,,,CALDWELL,NJ,07006,973-444-0234,,,1
14475,1117807,8126,"A TO Z BOOKS, LLC",elizabeth@atozbooksllc.com,380 WOODWARD CRES,,,WEST SENECA,NY,14224,888-368-6742,,,1
8972,8972,4880,A TO Z JANITORIAL SUPPLY,,10 COUNTY LINE ROAD  UNIT 6,,,BRANCHBURG,NJ,08876,908-685-8966,908-685-8968,,1
12604,13060,X796,A TO Z MECHANICAL INC.,,309 UNION AVENUE,,,WOOD RIDGE,NJ,07075,,,,1
10020,10020,8993,A TO Z PEST CONTROL,,332 RIVER AVENUE,,,LAKEWOOD,NJ,08701,732-901-6324,732-901-6328,,1
5401,5401,6243,A W MEYER CO. INC.,,595 BROAD AVENUE,,201-945-5500               *,RIDGEFIELD,NJ,07657,201-945-5500,201-945-8168,,1
14920,1434583,T243,A WOMAN OWNED CONTRACTOR INC.,hfingerman@awocusa.com,3217 COLLINS STREET,,,PHILADELPHIA,PA,19134,215-219-3579,,,1
14933,1434599,T49,A WOMEN OWNED CONTRACTOR INC.,,,,,,,,,,,1
14934,1434600,T249,A WOMEN OWNED CONTRACTOR INC.,awoc.straitz@gmail.com,8421 HEGEMAN STREET,,,PHILADELPHIA,PA,19136,267-606-6839,,,1
13493,14376,R196,"A ZITO PAVING, INC.",,1246 MIDDLE AVENUE,,,WATERFORD WORKS,NJ,08089,856-767-2107,,,0
1511,1511,1512,A$S SERVICE,,P.O. BOX 5238,"SOMERVILLE, N.J. 08876",908-707-4433               *,SOMERVILLE,NJ,088760000,9087074433,0000000000,,1
15899,1711141,T735,A&A Painting and Contracting Co. ,george@aapaintingnj.com,111 Columbia Street,,,Highland Park,NJ,08904,732-985-3256 ,,,1
15767,1623502,T664,A&D Industrial & Marine Repair Inc,,900 Port reading Avenue,,,Port Reading,NJ,07064,732-541-1481 ,732-541-4621,,1
13303,14185,R139,A&D LOCKS & SAFE SERVICE,,840 MONTAUK HWY,,,BAYPORT,NY,11702,631-472-3718,,,1
15198,1614864,T382,A&D Service Group LLC,,11 Sunnyslope Terrace,,,Yonkers,  ,10703,914-315-9513 ,,,1
4104,4104,4153,A&E TV NETWORKS,,235 E. 45TH ST.,"NEW YORK, N.Y. 10017",212-210-1400     210-9755  *,NEW YORK,NY,100170000,2122101400,0002109755,,1
15901,1711144,T737,A&M Contracting ,projects@amtekconsulting.us,"1967 Route 27, Suite 15",,,Edison,NJ,08817,732-902-2106,,,1
12705,13200,8096,A&M INDUSTRIAL,,901 HOPKINSON STREET,,,RAHWAY,NJ,07065,800-864-2660,732-574-2081,,1
7022,7022,8322,A&M INDUSTRIAL SUPPLY CO.,,1414 CAMPBELL STREET,,,RAHWAY,NJ,07065,732-574-1111,732-574-2081,,1
11664,11690,X003,A&M PAINTING,,,,,,,,,,,0
11668,11699,X003,A&M PAINTING,,15 SHEILA CT.,,,MANORVILLE,NY,11949,631-294-6297,,,1
14790,1432216,R950,A&M PLUMBING & HEATING,sam@amcontracting.us,1967 ROUTE 27  SUITE 15,,,WOODBRIDGE,NJ,08817,732-902-2106,732-333-5872,,1
8766,8766,4975,A&M SUPPLY NETWORK INC.,,2468 N. JERUSALEM ROAD suite 5 North,,,NORTH BELLMORE,NY,11710,516-794-6740,,,1
4472,4472,4541,A&N COMPUTER TECHNOLOGY INC.,,387B MAIN ST.,"HACKENSACK, NJ 07601",201-342-4800     F342-3363 *,HACKENSACK,NJ,076010000,2013424800,0003423363,,1
11665,11691,X004,"A&N Rappaport Lock & Alarms, Inc.",,31 NEW MAIN STREET,,,HAVERSTRAW,NY,10927,845-429-8400,845-429-8501,,1
10267,10267,,A+ Battery Company Inc,,28918 Hancock Parkway,,,Valencia,CA,91355,661-775-2020,,,1
4556,4556,4630,"A+ TECHNOLOGY & SECURITY SOLUTIONS, INC.",,1490 NORTH CLINTON AVE,,                           *,BAY SHORE,NY,11706,631-969-2600,631-969-2400,,1
10333,10333,,A+ UNIFORMS,,,,,,  ,,800-775-2075,,,0
5806,5806,6698,A-1 AUDIO VISUAL INC,fredwest@optonline.net,O.O. B. 08/07,,,,  ,,973-664-1484,973-627-8409,,0
2924,2924,295B,A-1 AUDIO VISUAL INC,,2860 RT. 10,"MORRIS PLAINS, N.J. 07950",                           *,MORRIS PLAINS,NJ,079500000,0000000000,0000000000,,1
12935,13528,X923,A-1 AUTHENTIC WOOD FLOORS,,77 EDGEMERE AVENUE,,,GREENWOOD LAKE,NY,10925,845-477-0800,,,1
16300,1711815,T944,A-1 Garden State Construction LLC,tommya1gscllc@gmail.com,22 1st Street,,,Little Falls ,NJ,07424,201-397-6711,,,1
13640,14677,5348,A-1 UNIFORM CITY INC.,uniformcity@comcast.net,721 S. BROADWAY,,,CAMDEN,NJ,08103,856-963-7680,856-963-0715,,1
1422,1422,1419,A-1 VOICE&DATA COMMUNICATIONS,,11 LAKE RICONDA DRIVE,"RINGWOOD, N.J. 07456",201-728-0888               *,RINGWOOD,NJ,074560000,2017280888,0000000000,,1
7043,7043,8343,A-B ELECTRICAL SUPPLY CO.,,68 SOUTH JEFFERSON ROAD,"WHIPPANY, N.J. 07981",                           *,WHIPPANY,NJ,079810000,0000000000,0000000000,,1
2807,2807,2843,A-C ELECTRIC SUPPLY CO.,,214 WEST AVE,"OCEAN CITY, N.J. 08226",                           *,OCEAN CITY,NJ,082260000,0000000000,0000000000,,1
2005,2005,2024,A-C INDUSTRIAL EQUIPMENT INC,,143 ROSELAND AVE/PO BOX 286,"CALDWELL, N.J. 07006",                           *,CALDWELL,NJ,070060000,0000000000,0000000000,,1
10057,10057,,A-Capella.Com,,PO Box 159,11 Seal Cove Road,,Southwest Harbor,ME,04679,8008272936,,,0
13925,15175,R463,A-GENERAL SEWER SERVICE,ageneralsewer@gmail.com,8998 ROUTE 18  SUITE 217,,,OLD BRIDGE,NJ,08857,732-545-3332,732-617-1699,,1
2614,2614,2650,A-J DISTRIBUTORS,,7 MEADOW VIEW CT,"NEWFOUNDLAND, N.J. 07435",201-697-0987               *,NEWFOUNDLAND,NJ,074350000,2016970987,0000000000,,1
14419,1117748,R718,"A-MASON EXTERMINATING, INC.",A-mason@amason.com,24 ORCHARD DRIVE,,,OLD BRIDGE,NJ,08857,732-619-4380,,,1
16094,1711497,T843,A-Tech Concrete Co. Inc.,jamorim@atechconcrete.net,11 Taylor Road,,,Edison,NJ,08817,732-248-1777,732-248-1174,,1
228,228,0210,A-V MATERIAL,,P.O. BOX 652,"SYOSSET, N.Y. 11791",                           *,SYOSSET,NY,117910000,0000000000,0000000000,,0
15881,1711123,9658,"A-Van Electrical Supply, Inc. ",,36 Utter Avenue,,,Hawthorne,NJ,07506,973-423-9500 ,973-423-3279 ,,1
4339,4339,4395,A-Z MUSIC CENTER,,101 ROOSEVELT AVE,,,TRENTON,NJ,08620,609-324-1373,609-324-1375,,1
6878,6878,7891,A. B. DICK COMPANY,,2350 W. DEVON AVE  SUITE 350,,,DES PLAINES,IL,60018,800-237-0812,847-647-0540,,1
2214,2214,2238,A. BERGER PAPER PRODUCTS,,1-A HICKS STREET,"LINDENHURST, N.Y. 11757",                           *,LINDENHURST,NY,117570000,0000000000,0000000000,,1
4764,4764,5050,A. BOHRER,,50 KNICKERBOCKER RD,"MOONACHIE, N.J. 07074",                           *,MOONACHIE,NJ,070740000,0000000000,0000000000,,1
4448,4448,4517,"A. HAUPT, INC.",,54-30 43RD ST.,,,MASPETH,NY,11378,718-784-3616,718-937-0720,,1
2188,2188,2212,A. LISS & CO. INC.,,32-15  58TH STREET,"WOODSIDE, N.Y. 11377",718-728-0600               *,WOODSIDE,NY,113770000,7187280600,0000000000,,1
12635,13111,X804,"A. MACCHIONE BROTHERS, INC.",,71 SOUTH NEWMAN STREET,,,HACKENSACK,NJ,07601,201-652-2700,201-487-5326,,1
14307,15911,R644,A. Molly Company Environmental Services,info@amolly.com,31 VOSE AVENUE,,,SOUTH ORANGE ,NJ,07079,862-702-3311,,,1
3603,3603,3627,A. SHEFTEL & SONS INC.,,2121 31ST ST. S.W.,"ALLENTOWN, PA 18103",                           *,ALLENTOWN,PA,181030000,0000000000,0000000000,,1
8208,8208,8161,A. STARR MUSIC LLC,,85 HICKSON DRIVE,,,NEW PROVIDENCE,NJ,07974,908-868-9986,,,1
4630,4630,4706,A..L. CONSULTING SERVICES,,914 DURHAM ROAD,,,EAST MEADOW,NY,11554,,,,0
9225,9225,1939,A..N.A. PAINTIN CORP.,,172 LINDEN STREET,,,HACKENSACK,NJ,07601,201-487-5510,201-487-1342,,1
11667,11693,X005,A.A. CARPET LTD INC,,750 SOUTH FULTON AVENUE,,,MT. VERNON,NY,10550,914-663-9202,914-663-9203,,1
