registrationid,vendorid,VendorBids_Code,VendorBids_Name,VendorBids_Email,VendorBids_City,VendorBids_State,EDS_VendorId,EDS_Code,EDS_Name,EDS_Email,EDS_City,EDS_State,VendorBids_Status,EDS_Status
10378,10378,,4 Seasons Swimwear,customerservice@4swimwear.com,Palm Desert,CA,10378,,4 Seasons Swimwear,customerservice@4swimwear.com,Palm Desert,CA,Inactive,Active
395,395,0373,47TH STREET PHOTO,,NEW YORK,NY,395,0373,47TH STREET PHOTO,,NEW YORK,NY,Inactive,Inactive
13664,14762,R316,"4G CONSTRUCTION, INC.",jnaples4g@gmail.com,CENTER MORICHES,NY,14762,R316,"4G CONSTRUCTION, INC.",jnaples4g@gmail.com,CENTER MORICHES,NY,Active,Active
16440,1711973,9983,4Ward Sports,wardterence02@gmail.com,Berlin,NJ,1711973,9983,4Ward Sports,wardterence02@gmail.com,Berlin,NJ,Active,Active
15442,1620990,T513,"5S Security, LLC ",,Passaic,NJ,1620990,T513,"5S Security, LLC ",A.hirschey@5s-security.com,Passaic,NJ,Active,Active
16271,1711774,T928,610 Automations LLC,steve@610automations.net,Fogelsville,PA,1711774,T928,610 Automations LLC,steve@610automations.net,Fogelsville,PA,Active,Active
4843,4843,5224,7 K M COPIER PRODUCTS,,IRVINE,CA,4843,5224,7 K M COPIER PRODUCTS,,IRVINE,CA,Active,Active
1173,1173,1154,816 SPORTS ,,HIGHLAND PARK,NJ,1173,1154,816 SPORTS ,office@816sport.com,HIGHLAND PARK,NJ,Active,Active
13467,14350,4988,8th Street Music,customerservice@8thstreet.com,Pennsauken,NJ,14350,4988,8th Street Music,customerservice@8thstreet.com,Pennsauken,NJ,Active,Active
12829,13336,X869,9 WEST CONSTRUCTION CORP.,,CONGERS,NY,13336,X869,9 West Construction Corp.,stacey@9westinc.com,CONGERS,NY,Active,Active
4543,4543,4617,94 FEET,,BERLIN,NJ,4543,4617,94 FEET,,BERLIN,NJ,Active,Active
14214,15622,6544,9to5 Computer Supply Inc.,richardraab@9to5computer.com,Jacksonville Beach,FL,15622,6544,9to5 Computer Supply Inc.,richardraab@9to5computer.com,Jacksonville Beach,FL,Active,Active
15255,1614916,9174,9to5 Seating LLC ,joni.stafford@9to5seating.com,Hawthorne,CA,1614916,9174,9to5 Seating LLC ,penny.lansang@9to5seating.com,Hawthorne,CA,Active,Active
2773,2773,281 ,A,,,28,2773,281 ,A,,,28,Active,Active
5565,5565,6411,A,,,64,5565,6411,A,,,64,Active,Active
7175,7175,8572,A &  P PRINTING CO.,,CLIFTON,NJ,7175,8572,A &  P PRINTING CO.,debbie@aandpprint.com,CLIFTON,NJ,Active,Active
1727,1727,1736,A & A INDUSTRIAL SUPPLY CO.,,VALLEY STREAM,NY,1727,1736,A & A INDUSTRIAL SUPPLY CO.,,VALLEY STREAM,NY,Active,Active
1345,1345,1338,A & B CERAMIC SUPERMARKET,,PORT WASHINGTON,NY,1345,1338,A & B CERAMIC SUPERMARKET,,PORT WASHINGTON,NY,Inactive,Inactive
14157,15563,L039,"A & B Leadmasters, LLC",,LAKEWOOD,NJ,15563,L039,"A & B Leadmasters, LLC",ableadmasters@gmail.com,LAKEWOOD,NJ,Active,Active
5017,5017,5689,A & B TEXACO,,ASBURY PARK,NJ,5017,5689,A & B TEXACO,,ASBURY PARK,NJ,Active,Active
3925,3925,3966,"A & B WIPER SUPPLY, INC.",,PHILADELPHIA,PA,3925,3966,"A & B WIPER SUPPLY, INC.",,PHILADELPHIA,PA,Active,Active
4544,4544,4618,A & C GREEN CLEANER LLC,,OAK RIDGE,NJ,4544,4618,A & C GREEN CLEANER LLC,egreencleaner@gmail.com,OAK RIDGE,NJ,Active,Active
12109,12202,X437,"A & D RECREATION, INC.",,MAMARONECK,NY,12202,X437,"A & D RECREATION, INC.",kathleen@corsetticontracting.com,MAMARONECK,NY,Active,Active
6310,6310,7276,A & E SPORTS CENTER,,PASSAIC,NJ,6310,7276,A & E SPORTS CENTER,,PASSAIC,NJ,Active,Active
2558,2558,2595,"A & I  EQUIPMENT, INC.",,RANDOLPH,NJ,2558,2595,"A & I  Equipment, Inc.",autoandindustrialinc@gmail.com,RANDOLPH,NJ,Active,Active
13221,14103,R064,A & K ELECTRIC CONTRACTING,info@akaelectricgroup.com,GLEN GARDNER,NJ,14103,R064,A & K ELECTRIC CONTRACTING,akelectricgroup@gmail.com,GLEN GARDNER,NJ,Active,Active
14786,1432212,R946,A & M CONTRACTING,info@amcontracting.us,EDISON,NJ,1432212,R946,A & M Contracting ,info@amcontracting.us,EDISON,NJ,Active,Active
2569,2569,2605,"A & M INDUSTRIAL, INC",,RAHWAY,NJ,2569,2605,"A & M INDUSTRIAL, INC",dshah@am-ind.com,RAHWAY,NJ,Active,Active
5548,5548,6396,A & M MULTIGRAPHICS,,MOUNTAINSIDE,NJ,5548,6396,A & M MULTIGRAPHICS,,MOUNTAINSIDE,NJ,Active,Active
3662,3662,3687,A & M SEVICES,,LONG VALLEY,NJ,3662,3687,A & M SEVICES,,LONG VALLEY,NJ,Active,Active
5353,5353,6196,"A & M SUPPLIES NETWORK, INC.",,NORTH BELLMORE,NY,5353,6196,"A & M SUPPLIES NETWORK, INC.",,NORTH BELLMORE,NY,Inactive,Inactive
4457,4457,4526,A & P PRINTING CO. / MASTER BUSINESS FORMS ,,CLIFTON,NJ,4457,4526,A & P PRINTING CO. / MASTER BUSINESS FORMS ,debbie@aandpprint.com,CLIFTON,NJ,Active,Active
13600,14540,R272,A & S CARPETS,,NEWARK,NJ,14540,R272,A & S CARPETS,,NEWARK,NJ,Inactive,Inactive
13516,14398,R213,A & S ENTERPRISES,,BROOKLYN,NY,14398,R213,A & S ENTERPRISES,,BROOKLYN,NY,Inactive,Inactive
6846,6846,7849,A -Z MUSIC CENTER,,MORRISVILLE,PA,6846,7849,A -Z MUSIC CENTER,,MORRISVILLE,PA,Active,Active
3022,3022,3057,A A A JANITORIAL SUPPLY,,SPRING VALLEY,NY,3022,3057,A A A JANITORIAL SUPPLY,,SPRING VALLEY,NY,Active,Active
15746,1623413,T647,A B Maniar & Son LLC ,Ashin@abmaniar.com,Milford,NJ,1623413,T647,A B Maniar & Son LLC ,ashin@abmaniar.com,Milford,NJ,Active,Active
9834,9834,F001,A BEKA                        ,,,,9834,F001,A BEKA                        ,,,,Active,Active
5453,5453,6301,A C ELECTRICAL SUPPLIES INC,,SMITHTOWN,NY,5453,6301,A C ELECTRICAL SUPPLIES INC,,SMITHTOWN,NY,Active,Active
8999,8999,4796,A C SPORTS,,AMITYVILLE,NY,8999,4796,A C SPORTS,,AMITYVILLE,NY,Active,Active
16290,1711798,T938,A Classy Lady LLC,,Fort Myers,FL,1711798,T938,A Classy Lady LLC,aclassyladyllc@gmail.com,Fort Myers,FL,Active,Active
3924,3924,3965,"A G E MANUFACTURERS, INC.",,BROOKLYN,NY,3924,3965,"A G E Manufacturers, Inc.",moish547@gmail.com,BROOKLYN,NY,Active,Active
8730,8730,8117,A GARY'S TREASURE,,CLIFTON PARK,NY,8730,8117,A GARY'S TREASURE,,CLIFTON PARK,NY,Active,Active
15040,1610600,T301,A J  RELIABLE ROOFING INC.,contact@ajreliable.com,NANUET,NY,1610600,T301,A J  RELIABLE ROOFING INC.,contact@ajreliable.com,NANUET,NY,Active,Active
16438,1711971,M023,A J Celiano Inc.,cyoung@ajceliano.com,Cranford,NJ,1711971,M023,A J Celiano Inc.,cyoung@ajceliano.com,Cranford,NJ,Active,Active
5321,5321,6162,A KFIR EQUIPMENT & FENCING GEA,kfirfencing@gmail.com,NEW YORK,NY,5321,6162,A KFIR EQUIPMENT & FENCING GEA,kfirfencing@gmail.com,,,Inactive,Inactive
3043,3043,3078,A L & S INDUSTRIES,,HARRINGTON PARK,NJ,3043,3078,A L & S INDUSTRIES,,HARRINGTON PARK,NJ,Active,Active
2575,2575,2611,A L & S INDUSTRIES,,HARRINGTON PARK,NJ,2575,2611,A L & S INDUSTRIES,,HARRINGTON PARK,NJ,Active,Active
3469,3469,3488,A L & S INDUSTRIES,,HARRINGTON PARK,NJ,3469,3488,A L & S INDUSTRIES,,HARRINGTON PARK,NJ,Active,Active
12483,12793,4701,A M FLLORING LLC,,,,12793,4701,A M FLLORING LLC,,,,Active,Active
4625,12793,4701,A M FLLORING LLC,,,,12793,4701,A M FLLORING LLC,,,,Active,Active
5355,5355,6198,A M LEONARD INC,,PIQUA,OH,5355,6198,A M LEONARD INC,,PIQUA,OH,Active,Active
5256,5256,6096,A M PRODUCTS,,NEW YORK,NY,5256,6096,A M PRODUCTS,,NEW YORK,NY,Active,Active
1436,1436,1433,A M S,,BUCHANAN,NY,1436,1433,A M S,,BUCHANAN,NY,Active,Active
15505,1621058,T537,A Plus Glass and Metal,vic@aplusglassmetal.com,Hasbrouck Heights ,NJ,1621058,T537,A Plus Glass and Metal,vic@aplusglassnmetal.com,Hasbrouck Heights ,NJ,Active,Active
14591,1431969,R826,A PLUS MANAGEMENT,aplusmanagementnj@yahoo.com,CALDWELL,NJ,1431969,R826,A PLUS MANAGEMENT,aplusmanagementnj@yahoo.com,CALDWELL,NJ,Active,Active
14475,1117807,8126,"A TO Z BOOKS, LLC",elizabeth@atozbooksllc.com,WEST SENECA,NY,1117807,8126,"A TO Z BOOKS, LLC",elizabeth@atozbooksllc.com,WEST SENECA,NY,Active,Active
8972,8972,4880,A TO Z JANITORIAL SUPPLY,,BRANCHBURG,NJ,8972,4880,A TO Z JANITORIAL SUPPLY,,BRANCHBURG,NJ,Active,Active
12604,13060,X796,A TO Z MECHANICAL INC.,,WOOD RIDGE,NJ,13060,X796,A TO Z MECHANICAL INC.,atozmechanical@verizon.net,WOOD RIDGE,NJ,Active,Active
10020,10020,8993,A TO Z PEST CONTROL,,LAKEWOOD,NJ,10020,8993,A TO Z PEST CONTROL,,LAKEWOOD,NJ,Active,Active
5401,5401,6243,A W MEYER CO. INC.,,RIDGEFIELD,NJ,5401,6243,A W MEYER CO. INC.,,RIDGEFIELD,NJ,Active,Active
14920,1434583,T243,A WOMAN OWNED CONTRACTOR INC.,hfingerman@awocusa.com,PHILADELPHIA,PA,1434583,T243,A WOMAN OWNED CONTRACTOR INC.,hfingerman@awocusa.com,PHILADELPHIA,PA,Active,Active
14933,1434599,T49,A WOMEN OWNED CONTRACTOR INC.,,,,1434599,T49,A WOMEN OWNED CONTRACTOR INC.,,,,Active,Active
14934,1434600,T249,A WOMEN OWNED CONTRACTOR INC.,awoc.straitz@gmail.com,PHILADELPHIA,PA,1434600,T249,A WOMEN OWNED CONTRACTOR INC.,straitz@awocusa.com,PHILADELPHIA,PA,Active,Active
13493,14376,R196,"A ZITO PAVING, INC.",,WATERFORD WORKS,NJ,14376,R196,"A ZITO PAVING, INC.",,WATERFORD WORKS,NJ,Inactive,Inactive
1511,1511,1512,A$S SERVICE,,SOMERVILLE,NJ,1511,1512,A$S SERVICE,,SOMERVILLE,NJ,Active,Active
15899,1711141,T735,A&A Painting and Contracting Co. ,george@aapaintingnj.com,Highland Park,NJ,1711141,T735,A&A Painting and Contracting Co. ,george@aapaintingnj.com,Highland Park,NJ,Active,Active
15767,1623502,T664,A&D Industrial & Marine Repair Inc,,Port Reading,NJ,1623502,T664,A&D Industrial & Marine Repair Inc,junior@adpumprepair.com,Port Reading,NJ,Active,Active
13303,14185,R139,A&D LOCKS & SAFE SERVICE,,BAYPORT,NY,14185,R139,A&D LOCKS & SAFE SERVICE,adlocksafe@gmail.com,BAYPORT,NY,Active,Active
15198,1614864,T382,A&D Service Group LLC,,Yonkers,  ,1614864,T382,A&D Service Group LLC,Ryan@Adservicegroupllc.com,Yonkers,  ,Active,Active
4104,4104,4153,A&E TV NETWORKS,,NEW YORK,NY,4104,4153,A&E TV NETWORKS,,NEW YORK,NY,Active,Active
15901,1711144,T737,A&M Contracting ,projects@amtekconsulting.us,Edison,NJ,1711144,T737,A&M Contracting ,projects@amtekconsulting.us,Edison,NJ,Active,Active
12705,13200,8096,A&M INDUSTRIAL,,RAHWAY,NJ,13200,8096,A&M Industrial,eolexa@am-ind.com,RAHWAY,NJ,Active,Active
7022,7022,8322,A&M INDUSTRIAL SUPPLY CO.,,RAHWAY,NJ,7022,8322,A&M INDUSTRIAL SUPPLY CO.,dshah@am-ind.com,RAHWAY,NJ,Active,Active
11664,11690,X003,A&M PAINTING,,,,11690,,,,,,Inactive,Inactive
11668,11699,X003,A&M PAINTING,,MANORVILLE,NY,11699,X003,A&M PAINTING,tcb1983@optonline.net,MANORVILLE,NY,Active,Active
14790,1432216,R950,A&M PLUMBING & HEATING,sam@amcontracting.us,WOODBRIDGE,NJ,1432216,R950,A&M PLUMBING & HEATING,projects@amcontracting.us,WOODBRIDGE,NJ,Active,Active
8766,8766,4975,A&M SUPPLY NETWORK INC.,,NORTH BELLMORE,NY,8766,4975,A&M SUPPLY NETWORK INC.,mksprints@aol.com,NORTH BELLMORE,NY,Active,Active
4472,4472,4541,A&N COMPUTER TECHNOLOGY INC.,,HACKENSACK,NJ,4472,4541,A&N COMPUTER TECHNOLOGY INC.,,HACKENSACK,NJ,Active,Active
11665,11691,X004,"A&N Rappaport Lock & Alarms, Inc.",,HAVERSTRAW,NY,11691,X004,"A&N Rappaport Lock & Alarms, Inc.",rappaportlock@live.com,HAVERSTRAW,NY,Active,Active
10267,10267,,A+ Battery Company Inc,,Valencia,CA,10267,7944,A+ Battery Company Inc,sales@atbatt.com,Valencia,CA,Active,Active
4556,4556,4630,"A+ TECHNOLOGY & SECURITY SOLUTIONS, INC.",,BAY SHORE,NY,4556,4630,"A+ Technology & Security Solutions, Inc.",info@theaplusgroup.com,BAY SHORE,NY,Active,Active
10333,10333,,A+ UNIFORMS,,,  ,10333,,,,,,Inactive,Inactive
5806,5806,6698,A-1 AUDIO VISUAL INC,fredwest@optonline.net,,  ,5806,6698,A-1 AUDIO VISUAL INC,fredwest@optonline.net,,,Inactive,Inactive
2924,2924,295B,A-1 AUDIO VISUAL INC,,MORRIS PLAINS,NJ,2924,295B,A-1 AUDIO VISUAL INC,,MORRIS PLAINS,NJ,Active,Active
12935,13528,X923,A-1 AUTHENTIC WOOD FLOORS,,GREENWOOD LAKE,NY,13528,X923,A-1 AUTHENTIC WOOD FLOORS,Fixstix13@gmail.com,GREENWOOD LAKE,NY,Active,Active
16300,1711815,T944,A-1 Garden State Construction LLC,tommya1gscllc@gmail.com,Little Falls ,NJ,1711815,T944,A-1 Garden State Construction LLC,Tommya1gscllc@gmail.com,Little Falls ,NJ,Active,Active
13640,14677,5348,A-1 UNIFORM CITY INC.,uniformcity@comcast.net,CAMDEN,NJ,14677,5348,A-1 UNIFORM CITY INC.,uniformcity@comcast.net,CAMDEN,NJ,Active,Active
1422,1422,1419,A-1 VOICE&DATA COMMUNICATIONS,,RINGWOOD,NJ,1422,1419,A-1 VOICE&DATA COMMUNICATIONS,,RINGWOOD,NJ,Active,Active
7043,7043,8343,A-B ELECTRICAL SUPPLY CO.,,WHIPPANY,NJ,7043,8343,A-B ELECTRICAL SUPPLY CO.,,WHIPPANY,NJ,Active,Active
2807,2807,2843,A-C ELECTRIC SUPPLY CO.,,OCEAN CITY,NJ,2807,2843,A-C ELECTRIC SUPPLY CO.,,OCEAN CITY,NJ,Active,Active
2005,2005,2024,A-C INDUSTRIAL EQUIPMENT INC,,CALDWELL,NJ,2005,2024,A-C INDUSTRIAL EQUIPMENT INC,,CALDWELL,NJ,Active,Active
10057,10057,,A-Capella.Com,,Southwest Harbor,ME,10057,,A-Capella.Com,,Southwest Harbor,ME,Inactive,Active
13925,15175,R463,A-GENERAL SEWER SERVICE,ageneralsewer@gmail.com,OLD BRIDGE,NJ,15175,R463,A-GENERAL SEWER SERVICE,ageneralsewer@gmail.com,OLD BRIDGE,NJ,Active,Active
2614,2614,2650,A-J DISTRIBUTORS,,NEWFOUNDLAND,NJ,2614,2650,A-J DISTRIBUTORS,,NEWFOUNDLAND,NJ,Active,Active
14419,1117748,R718,"A-MASON EXTERMINATING, INC.",A-mason@amason.com,OLD BRIDGE,NJ,1117748,R718,"A-MASON EXTERMINATING, INC.",A-mason@a-mason.com,OLD BRIDGE,NJ,Active,Active
16094,1711497,T843,A-Tech Concrete Co. Inc.,jamorim@atechconcrete.net,Edison,NJ,1711497,T843,A-Tech Concrete Co. Inc.,jamorim@atechconcrete.net,Edison,NJ,Active,Active
